Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Profit Ratio,Quantity,Sales
Office Supplies,Houston,United States,Darren Powers,Message Book,1/3/2013,CA-2011-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,1/7/2013,Standard Class,Texas,Paper,20%,1,$6,34%,2,$16
Office Supplies,Naperville,United States,Phillina Ober,Avery,1/4/2013,CA-2011-112326,60540,Avery 508,Central,Home Office,1/8/2013,Standard Class,Illinois,Labels,20%,1,$4,36%,3,$12
Office Supplies,Naperville,United States,Phillina Ober,SAFCO,1/4/2013,CA-2011-112326,60540,SAFCO Boltless Steel Shelving,Central,Home Office,1/8/2013,Standard Class,Illinois,Storage,20%,1,-$65,-24%,3,$273
Office Supplies,Naperville,United States,Phillina Ober,GBC,1/4/2013,CA-2011-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,1/8/2013,Standard Class,Illinois,Binders,80%,1,-$5,-155%,2,$4
Office Supplies,Philadelphia,United States,Mick Brown,Avery,1/5/2013,CA-2011-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,1/12/2013,Standard Class,Pennsylvania,Art,20%,1,$5,25%,3,$20
Office Supplies,Los Angeles,United States,Lycoris Saunders,Xerox,1/6/2013,CA-2011-130813,90049,Xerox 225,West,Consumer,1/8/2013,Second Class,California,Paper,0%,1,$9,48%,3,$19
Office Supplies,Athens,United States,Jack O'Briant,Dixon,1/6/2013,CA-2011-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,1/7/2013,First Class,Georgia,Art,0%,1,$5,41%,3,$13
Furniture,Henderson,United States,Maria Etezadi,Global,1/6/2013,CA-2011-167199,42420,Global Deluxe High-Back Manager's Chair,South,Home Office,1/10/2013,Standard Class,Kentucky,Chairs,0%,1,$746,29%,9,"$2,574"
Office Supplies,Henderson,United States,Maria Etezadi,Ibico,1/6/2013,CA-2011-167199,42420,Ibico Hi-Tech Manual Binding System,South,Home Office,1/10/2013,Standard Class,Kentucky,Binders,0%,1,$274,45%,2,$610
Office Supplies,Henderson,United States,Maria Etezadi,Rogers,1/6/2013,CA-2011-167199,42420,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,1/10/2013,Standard Class,Kentucky,Art,0%,1,$1,27%,2,$5
